Time (Microsecond),Voltage (V)
-50.0,-0.0015625000000003
-49.9,0.0096875
-49.8,0.0146875000000009
-49.7,0.0159374999999997
-49.6,0.0059374999999999
-49.5,0.0046874999999992
-49.4,0.0009374999999991
-49.3,-0.0078125
-49.2,-0.0090625000000006
-49.1,-0.0053125000000005
-49.0,-0.0028124999999992
-48.9,0.0009374999999991
-48.8,0.0109375000000007
-48.7,0.0009374999999991
-48.6,0.0034375000000004
-48.5,0.0134375000000002
-48.4,0.0071875000000005
-48.3,-0.0028124999999992
-48.2,-0.0078125
-48.1,-0.0028124999999992
-48.0,-0.0115625000000001
-47.9,-0.0140624999999996
-47.8,-0.0053125000000005
-47.7,0.0084374999999994
-47.6,0.0109375000000007
-47.5,0.0046874999999992
-47.4,0.0059374999999999
-47.3,0.0109375000000007
-47.2,-0.0065624999999993
-47.1,-0.0140624999999996
-47.0,-0.0178124999999998
-46.9,-0.0053125000000005
-46.8,-0.0028124999999992
-46.7,0.0034375000000004
-46.6,0.0184374999999992
-46.5,0.0196874999999999
-46.4,0.0171875000000004
-46.3,0.0134375000000002
-46.2,0.0021874999999997
-46.1,0.0009374999999991
-46.0,0.0059374999999999
-45.9,0.0009374999999991
-45.8,-0.0065624999999993
-45.7,-0.0153125000000003
-45.6,0.0021874999999997
-45.5,0.0084374999999994
-45.4,0.0096875
-45.3,0.0134375000000002
-45.2,0.0184374999999992
-45.1,0.0184374999999992
-45.0,0.0046874999999992
-44.9,-0.0053125000000005
-44.8,-0.0028124999999992
-44.7,-0.0003124999999997
-44.6,-0.0053125000000005
-44.5,-0.0065624999999993
-44.4,-0.0078125
-44.3,-0.0078125
-44.2,-0.0065624999999993
-44.1,-0.0003124999999997
-44.0,-0.0028124999999992
-43.9,0.0096875
-43.8,0.0271875000000001
-43.7,0.0471874999999997
-43.6,-0.0103124999999995
-43.5,-0.0690624999999994
-43.4,-0.0315624999999997
-43.3,-0.0090625000000006
-43.2,-0.0303125000000009
-43.1,-0.0303125000000009
-43.0,0.0196874999999999
-42.9,0.0671874999999993
-42.8,0.0534374999999994
-42.7,0.0334374999999998
-42.6,0.0334374999999998
-42.5,0.0046874999999992
-42.4,-0.0115625000000001
-42.3,-0.0240624999999994
-42.2,-0.0303125000000009
-42.1,-0.0278124999999996
-42.0,-0.0090625000000006
-41.9,-0.0115625000000001
-41.8,0.0059374999999999
-41.7,0.0084374999999994
-41.6,0.0096875
-41.5,0.0096875
-41.4,0.0096875
-41.3,0.0021874999999997
-41.2,-0.0078125
-41.1,-0.0115625000000001
-41.0,-0.0090625000000006
-40.9,-0.0078125
