Time (Microsecond),Voltage (V)
-50.0,-0.0015625000000003
-49.9,0.0096875
-49.8,0.0121874999999996
-49.7,0.0059374999999999
-49.6,0.0021874999999997
-49.5,0.0071875000000005
-49.4,-0.0028124999999992
-49.3,-0.0078125
-49.2,-0.0090625000000006
-49.1,-0.0090625000000006
-49.0,-0.0053125000000005
-48.9,-0.0053125000000005
-48.8,0.0034375000000004
-48.7,0.0021874999999997
-48.6,-0.0003124999999997
-48.5,0.0034375000000004
-48.4,-0.0028124999999992
-48.3,-0.0053125000000005
-48.2,-0.0078125
-48.1,-0.0015625000000003
-48.0,-0.0140624999999996
-47.9,-0.0178124999999998
-47.8,-0.0028124999999992
-47.7,0.0159374999999997
-47.6,0.0159374999999997
-47.5,0.0009374999999991
-47.4,-0.0003124999999997
-47.3,0.0096875
-47.2,-0.0053125000000005
-47.1,-0.0165624999999991
-47.0,-0.0115625000000001
-46.9,-0.0040624999999998
-46.8,-0.0028124999999992
-46.7,0.0034375000000004
-46.6,0.0084374999999994
-46.5,0.0196874999999999
-46.4,0.0209375000000005
-46.3,0.0109375000000007
-46.2,-0.0040624999999998
-46.1,-0.0015625000000003
-46.0,-0.0003124999999997
-45.9,-0.0028124999999992
-45.8,-0.0015625000000003
-45.7,-0.0053125000000005
-45.6,0.0071875000000005
-45.5,0.0184374999999992
-45.4,0.0184374999999992
-45.3,0.0159374999999997
-45.2,0.0109375000000007
-45.1,0.0096875
-45.0,0.0096875
-44.9,-0.0040624999999998
-44.8,-0.0053125000000005
-44.7,-0.0003124999999997
-44.6,-0.0040624999999998
-44.5,-0.0003124999999997
-44.4,-0.0015625000000003
-44.3,0.0034375000000004
-44.2,-0.0003124999999997
-44.1,0.0034375000000004
-44.0,0.0046874999999992
-43.9,0.0109375000000007
-43.8,0.0334374999999998
-43.7,0.0459375000000009
-43.6,-0.0140624999999996
-43.5,-0.0678125000000005
-43.4,-0.0328125000000004
-43.3,-0.0040624999999998
-43.2,-0.0253125000000001
-43.1,-0.0278124999999996
-43.0,0.0234375
-42.9,0.0646874999999998
-42.8,0.0509374999999999
-42.7,0.0334374999999998
-42.6,0.0284375000000008
-42.5,0.0134375000000002
-42.4,-0.0090625000000006
-42.3,-0.0240624999999994
-42.2,-0.0240624999999994
-42.1,-0.0265625000000007
-42.0,-0.0115625000000001
-41.9,-0.0115625000000001
-41.8,0.0021874999999997
-41.7,0.0096875
-41.6,0.0171875000000004
-41.5,0.0109375000000007
-41.4,0.0046874999999992
-41.3,-0.0003124999999997
-41.2,-0.0090625000000006
-41.1,-0.0140624999999996
-41.0,-0.0115625000000001
